county,month,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
Schenectady,7/1/2020,227,14460,0.015698479,0.037790698
Schenectady,8/1/2020,239,17151,0.013935048,0.033831629
Schenectady,9/1/2020,146,25388,0.005750748,0.03246295
Schenectady,10/1/2020,205,33030,0.006206479,0.029593095
Schenectady,11/1/2020,249,15709,0.015850786,0.027792624
Schoharie,3/1/2020,8,91,0.087912088,0
Schoharie,4/1/2020,35,542,0.064575646,0.023255814
Schoharie,5/1/2020,7,892,0.007847534,0.04
Schoharie,6/1/2020,8,1603,0.004990643,0.034482759
Schoharie,7/1/2020,10,1478,0.0067659,0.029411765
Schoharie,8/1/2020,2,1874,0.001067236,0.028571429
Schoharie,9/1/2020,15,2252,0.006660746,0.023529412
Schoharie,10/1/2020,30,5779,0.00519121,0.017391304
Schoharie,11/1/2020,28,4251,0.006586685,0.013986014
Schuyler,3/1/2020,2,67,0.029850746,0
Schuyler,4/1/2020,5,351,0.014245014,0
Schuyler,5/1/2020,4,1125,0.003555556,0
Schuyler,6/1/2020,2,1522,0.00131406,0
Schuyler,7/1/2020,9,1859,0.004841313,0
Schuyler,8/1/2020,4,1874,0.002134472,0
Schuyler,9/1/2020,21,2498,0.008406725,0
Schuyler,10/1/2020,102,4187,0.024361118,0.020134228
Schuyler,11/1/2020,79,1943,0.040658775,0.013157895
Seneca,3/1/2020,2,81,0.024691358,0
Seneca,4/1/2020,39,416,0.09375,0.024390244
Seneca,5/1/2020,18,1755,0.01025641,0.016949153
Seneca,6/1/2020,11,3145,0.003497615,0.014285714
Seneca,7/1/2020,15,3064,0.004895561,0.011764706
Seneca,8/1/2020,15,2952,0.005081301,0.01
Seneca,9/1/2020,8,3339,0.002395927,0.009259259
Seneca,10/1/2020,41,5755,0.00712424,0.013422819
Seneca,11/1/2020,60,2437,0.024620435,0.009569378
St. Lawrence,3/1/2020,34,418,0.081339713,0
St. Lawrence,4/1/2020,142,1565,0.090734824,0.011363636
St. Lawrence,5/1/2020,29,7646,0.003792833,0.009756098
St. Lawrence,6/1/2020,14,8403,0.001666072,0.01369863
St. Lawrence,7/1/2020,42,9996,0.004201681,0.01532567
